Finding ID,Title,Severity,Status,Priority,Remediation Wave,Domain,Component,Recommended Owner,Estimated Effort,Dependencies / Sequencing Notes,Regression Risk,Required Tests,Rollback Requirements,Discovered By
SCALE-B-003,Six in-process setInterval schedulers + the automation sweep are guarded only by in-memory state → duplicate money actions on any multi-machine scale-out,high,validated,P1,Wave 1,scalability/single-machine-state,server/index.ts; server/rate-limit.ts; server/vendor-compliance-scheduler.ts; server/de-provisioning.ts; server/election-scheduler.ts; server/routes.ts; fly.toml,YCM backend eng,M,Must land BEFORE any multi-machine scale-out is enabled on Fly — currently safe only because min_machines_running=1.,medium — an advisory lock that isn't released on crash could stall a sweep; use a session-scoped lock that auto-releases on disconnect.,two-instance test proving only one sweep runs; crash-mid-sweep releases the lock,Same as A-REL-005.,lane-b
A-OPS-003,"Error tracking (Sentry) wired in code but inert in production — SDKs not installed, DSNs empty",medium,validated,P1,Wave 1,ops,server/observability.ts; client/src/lib/observability.ts; fly.toml build args; package.json,YCM backend eng / DevOps,S,"Ships together with CQ-009 (same finding, two lanes).",Low — enabling is additive; init is idempotent and no-ops safely if misconfigured.,trigger a server error and confirm a Sentry event; confirm client error boundary reports to Sentry,Additive (SDK install + Fly secret) — Sentry no-ops safely if misconfigured; no functional rollback risk.,lane-a
A-REL-005,In-process interval schedulers run per-machine without cross-machine locking; can double-fire side effects during multi-machine windows,medium,needs runtime verification,P1,Wave 1,reliability,server/election-scheduler.ts; server/de-provisioning.ts; server/vendor-compliance-scheduler.ts; server/index.ts automation sweep,YCM backend eng,S,Ships together with SCALE-B-003 (same root cause) — reuse the existing bank-feed-sync.ts pg_try_advisory_lock pattern.,Low — advisory-lock wrap is additive; on a single machine it always acquires the lock and behavior is unchanged.,simulate two concurrent sweep invocations and assert only one performs side effects; assert de-provisioning does not send duplicate deactivation emails under concurrent runs,"Additive advisory-lock wrapper — on the current single-machine topology the lock always acquires immediately, so behavior is unchanged; revert by removing the wrapper.",lane-a
A-SEC-002,Google Maps API key committed to source (fly.toml build arg + docs),medium,validated,P1,Wave 1,secrets,fly.toml build args; INSTALL-OBSERVABILITY.md,YCM DevOps + William (GCP console access),S,"Ships together with COST-B-004 and CQ-012 (same finding, 3 lanes) — one fix closes all three.",Low — key rotation + build-arg injection is transparent to runtime if restrictions match the serving domain.,verify Maps still loads on the production domain after restriction+rotation; confirm the key is rejected from an unauthorized referrer,Key rotation + restriction is a config change; revert by re-issuing an unrestricted key (not recommended) if the restricted key breaks Maps rendering on an unanticipated origin.,lane-a
COST-B-004,Google Maps API key committed in fly.toml — cost/quota-theft exposure if the key is not usage-restricted,medium,needs runtime verification,P1,Wave 1,cost/external-service,fly.toml,YCM DevOps + William (GCP console access),S,Duplicate of A-SEC-002 / CQ-012 — one fix closes all three.,low — referrer restriction can break local/preview origins if too narrow; include dev origins.,confirm map still renders from the prod origin after restriction; confirm a non-allowed origin is rejected,Same as A-SEC-002.,lane-b
CQ-006,Playwright (incl. visual-regression + axe a11y) is a NON-required check — PRs can merge with it red,medium,validated,P1,Wave 1,test coverage / quality gate,branch protection; ci.yml Playwright job,YCM QA / release engineer,S,"Requires the Playwright suite to be de-flaked first (browser-cache hardening, founder-os#10172) or merges will be blocked by flaky tests.",Low-medium (requiring a flaky check would block merges — hence stabilize/split first).,None specified,Branch-protection required-checks change — remove the requirement to revert. Promote incrementally (route-mock + a11y first; visual-regression stays advisory until flake is fixed per founder-os#10172).,lane-c
CQ-009,Server error reporting is conditional on SENTRY_DSN and silently no-ops when unset,medium,needs runtime verification,P1,Wave 1,observability / error-handling,server/observability.ts,YCM backend eng / DevOps,S,Duplicate of A-OPS-003 — one PR closes both.,Low.,boot-time config assertion test for prod env,Same as A-OPS-003.,lane-c
CQ-010,No systematic per-call-site tenant-isolation test coverage across ~515 routes,medium,candidate,P1,Wave 1,test coverage,server/routes.ts; tests/,YCM backend eng (security/tenant) + QA,M,"Build the route-inventory meta-test BEFORE the Wave 2 tenant-isolation fixes land, so each fix has a regression test ready and future routes are covered automatically.",Low (adding tests).,route-inventory tenant-scope coverage meta-test; assertResourceScope unresolved-association regression test,New tests only — zero rollback risk.,lane-c
CQ-012,Google Maps API key committed in fly.toml (version control + git history),medium,validated,P1,Wave 1,product hygiene / secrets,fly.toml,YCM DevOps + William (GCP console access),S,Duplicate of A-SEC-002 / COST-B-004 — one fix closes all three.,Low (rotation + restriction).,None specified,Same as A-SEC-002.,lane-c
A-REL-006,ESLint scoped to client only — entire server/ (money handlers) is unlinted,low,validated,P1,Wave 1,reliability,package.json lint script; server/*,YCM backend eng (lead) + whole team (incremental triage),M,"Duplicate of CQ-001 — same fix, one PR. Severity resolved to HIGH per CQ-001 (see report).","Low at config level; the first server lint run will surface a backlog that should be addressed gradually, not block-all at once.",confirm `eslint server` runs in CI and fails on an introduced floating-promise,Same as CQ-001.,lane-a
STARTUP-B-006,Database seeding runs on every process boot (await seedDatabase) — boot latency + correctness risk if the seed is not fully idempotent,low,needs runtime verification,P2,Wave 1,performance/build-startup,server/index.ts; server/seed.ts,YCM backend eng,S,Verify seed.ts idempotency (4257 lines) before fully disabling on prod boot — do a partial read-through first.,low — flag-gating is additive; ensure prod still has its required reference rows via migration.,boot with seed disabled still serves; re-running seed twice is a no-op (row counts stable),Flag-gate is additive — default the flag to current (seed-on-boot) behavior until verified safe to disable in prod.,lane-b
A-AUTH-001,"Owner/board portal bearer (x-portal-access-id) is a permanent, non-rotating, non-revocable DB primary key",high,validated,P1,Wave 2,portal,requirePortal middleware; portal OTP verify; resolvePortalAccessContext; uploads-access; portal_access schema,"YCM backend eng (auth/portal) — XL, phase it",XL,Highest-effort item in Wave 2 — start design/spec early (Wave 1 timeframe) even though the code lands in Wave 2; needs a client-side (React) change too.,High — this is the core portal auth mechanism referenced by dozens of routes; changing it touches every portal endpoint and the client. Requires phased migration + token backfill.,portal token rotates on re-login and old token is rejected; portal logout invalidates the token server-side; absolute-lifetime cap fires even under continuous use; leaked/rotated id no longer resolves,"High regression risk (core portal auth, touches dozens of routes + the client) — phased migration with a backfill/dual-read period; old header path should be dual-supported during rollout, not hard-cut.",lane-a
A-AUTHZ-001,assertResourceScope fails OPEN when the resource's association is unresolved (null/undefined) — cross-tenant read/write of null-association resources across 9 resource types,high,validated,P1,Wave 2,authz/tenant-isolation,server/routes.ts:assertResourceScope; server/storage.ts:getAssociationIdForScopedResource; governance-templates; clause-records; notice-templates; notice-sends; communication-history; ai-ingestion-job,YCM backend eng (tenant/security),M,"Fix mirrors the ALREADY-hardened assertAssociationScope pattern in the same file — low design risk, mostly a mechanical parity fix.","Medium — flipping to fail-closed will start rejecting requests that today silently pass on null-association rows or on any not-yet-created id; legitimate flows that read/write genuinely-global templates (state-library/ct-baseline) must be preserved via the explicit allow-list branch, and any handler that calls assertResourceScope before creating a not-yet-existent resource must be reviewed.",non-platform admin PATCH/DELETE of a governance template with association_id=NULL is denied; non-platform admin cannot read/mutate a clause-record/notice-template/communication-history row with null association; unknown resourceType passed to assertResourceScope throws rather than allows; platform-admin still allowed on global templates; legitimate same-tenant resource still passes,Flipping to fail-closed may reject legitimate global-template reads — needs an explicit allow-list branch for platform-provided templates (state-library/ct-baseline) before/with the fix; revert = restore the fail-open branch.,lane-a
A-AUTHZ-002,records-requests module: complete absence of tenant isolation — cross-tenant IDOR read+write across all 7 routes (CT §47-260 owner records),high,validated,P0,Wave 2,authz/tenant-isolation,server/routes/records-requests.ts; server/storage.ts:getRecordsRequests/getRecordsRequest/updateRecordsRequest/getRecordsRequestItems,"YCM backend eng (tenant/security) — LEAD ITEM, start immediately in parallel with Wave 0/1",M,"Deterministic, confirmed, zero-isolation module (CT §47-260 owner records) — highest-confidence tenant-isolation fix; do not wait for the rest of Wave 2.","Low-to-medium — adding scope checks may 400/403 existing clients that relied on omitting associationId (which currently returns all tenants), so the frontend must always pass a scoped associationId; platform-admin cross-tenant flows must be preserved.",tenant A admin GET /api/records-requests/:id of a tenant B request returns 403/404; tenant A admin PATCH of tenant B request denied; GET /api/records-requests without associationId does not return other tenants' rows for a non-platform admin; POST cannot create a request in a non-scoped association; platform-admin retains cross-tenant access,Adding scope checks may reject clients that relied on omitting associationId — coordinate a frontend change in the same release; revert is a code revert (re-permits the hole) if it breaks a legitimate flow.,lane-a
A-STRIPE-001,"Amenity deposit forfeit (capture) and refund (cancel) send NO Idempotency-Key, causing money/record desync on retry",high,validated,P1,Wave 2,payments/money-integrity,amenity-stripe-gateway; amenity-money-service; amenity-money-loop,YCM backend eng (payments),S,Currently latent (GL/amenity flag default-off) — fix BEFORE any association is allowlisted for the amenity money loop.,Low — additive header on money-moving POSTs; must ensure the key encodes the exact operation grain (amount included) so a legitimate distinct forfeit/refund of a different amount is a distinct key.,forfeit retry after DB write failure does not double-capture and the column eventually reflects the captured amount; refund retry after cancel does not error-loop and column reflects release; distinct partial forfeits of different amounts produce distinct keys,Additive Idempotency-Key header — revert removes the header; must include amount in the key so distinct-amount operations remain distinct.,lane-a
DATA-B-009,"Money-moving multi-row writes are NOT transactional — server uses db.transaction exactly once (a non-money RAG path), so a mid-operation failure leaves partial financial state",high,validated,P1,Wave 2,data/transactions-and-integrity,owner-ledger import; owner-ledger entry posting; reconciliation apply; autopay sweep,YCM backend eng (money/ledger),M,Build a shared postToLedger(tx) helper so new money-write call sites inherit atomicity automatically — do this before/alongside A-STRIPE-002 (same non-atomic-writes root cause).,low-medium — wrapping sequential writes in a transaction changes failure semantics to all-or-nothing (the intent); must confirm no long-running import loop holds a tx open past Neon statement/idle timeout (batch large imports).,"fault-injection: fail mid bank-statement import, assert zero partial ledger rows (rollback); re-run idempotency still holds after a rolled-back import",Wrapping sequential writes in a transaction changes failure semantics to all-or-nothing (the intended fix) — must confirm no long-running import loop holds a transaction open past Neon's statement/idle timeout (batch large imports); revert by removing the transaction wrapper.,"lane-b (verification pass, worker on #10579)"
A-AUTHZ-003,amenities module: list endpoint trusts raw client associationId and by-id write/read endpoints have no association check — cross-tenant IDOR (amenities + owner reservations),medium,validated,P2,Wave 2,authz/tenant-isolation,server/routes/amenities.ts; amenities table; amenityReservations table,YCM backend eng (tenant/security),S,"Bundle with A-AUTHZ-001/002 — same PR family, same test harness (CQ-010's meta-test).",Low — the frontend already passes associationId on list; adding validation only rejects out-of-scope values. By-id checks add a single membership assertion per handler.,tenant A admin GET /api/amenities?associationId=<tenantB> returns 403; tenant A admin PATCH/DELETE /api/amenities/:id of a tenant B amenity denied; tenant A admin cannot read tenant B amenity reservations; platform-admin retains cross-tenant access,Additive validation on an existing endpoint — revert removes the check.,lane-a
A-AUTHZ-004,"Systemic inconsistency: newer server/routes/*.ts modules hand-roll Drizzle queries and bypass the central tenant-isolation guards, applying isolation unevenly",medium,validated,P2,Wave 2,authz/tenant-isolation,server/routes/*.ts; server/routes.ts (central guards),YCM backend eng (tenant/security) — architectural follow-through,L,"This is the ROOT-CAUSE fix for A-AUTHZ-001/002/003 recurring — do LAST in the AUTHZ cluster once the concrete instances are fixed, so the new primitive is shaped by real cases.",Low as a policy/refactor if introduced additively; each converted module needs the same tenant-scope tests.,a cross-tenant IDOR test harness applied to every server/routes/*.ts module; CI check that flags a route handler doing db.select/update by id with no association assertion,Introducing a shared mandatory scope primitive is additive; existing call sites keep working until migrated module-by-module.,lane-a
A-LEDGER-005,Money amounts stored as single-precision float (real/float4) in owner_ledger_entries and payment_webhook_events — precision loss and off-by-a-cent risk on large amounts and float summation,medium,validated,P2,Wave 2,ledger,shared/schema.ts owner_ledger_entries.amount; shared/schema.ts payment_webhook_events.amount; server/services/reconciliation/report.ts; server/services/plaid-reconciliation.ts match math,YCM backend eng (money/ledger) — data migration,L,Consider sequencing the interim float8 change early (cheap) and the full integer-cents end-to-end migration as a Wave 3 architecture-adjacent project.,Medium — a column-type migration touches every ledger reader/writer and requires careful data conversion; interim float8 change is lower risk.,large-amount round-trip preserves cents; aggregate of many entries ties to sum of integer cents; reconciliation variance stays 0 across the change,"Column-type migration touches every ledger reader/writer — do the float8 interim step first (lower risk), full integer-cents migration is a larger follow-on; revert requires re-migrating the column type back (higher-risk direction, plan carefully).",lane-a
A-RECON-004,Bank credits are never marked consumed (reconciledToPaymentTransactionId is written nowhere) — across sync runs one bank deposit can settle multiple same-amount ledger entries,medium,validated,P2,Wave 2,reconciliation,server/services/plaid-reconciliation.ts reconcileBankTransactions/applyMatch; shared/schema.ts owner_ledger_entries.bankTransactionId / bank_transactions.reconciledToPaymentTransactionId,YCM backend eng (money/ledger),S,Latent (only the default-off Plaid-pay-intent path uses this matcher today) — fix before/with A-LEDGER-007.,"Low-medium — the report already derives matched state from the ledger side, so writing the bank-side marker is additive; must ensure the field semantics (payment_transaction vs ledger entry) don't collide with any other reconciliation lane.",credit consumed once → excluded from next run; two equal-amount pending entries + one credit → only one settled; applyMatch atomicity under failure,Additive column write inside the existing match transaction — revert by not writing the marker (returns to current behavior).,lane-a
A-RECON-006,"charge.refunded / dispute.created / dispute.closed webhooks are only acknowledged — they never reverse the owner-ledger payment entry, so refunded/charged-back payments leave the owner balance artificially reduced",medium,validated,P2,Wave 2,reconciliation/ledger,server/routes/stripe-connect.ts platform Connect webhook switch,YCM backend eng (money/ledger),M,Reuse the canonical payment-identity idempotency key from the A-WEBHOOK-001 fix to avoid double-reversal — sequence after Wave 0.,Low-medium — additive write; must be idempotent and must handle partial refunds (refund amount vs original charge amount).,full refund posts one reversing entry; partial refund posts partial reversal; duplicate refund webhook is idempotent; dispute lost posts reversal + fee,New reversing-entry write path — must be idempotent and handle partial refunds; revert by returning to acknowledge-only (re-opens the gap).,lane-a
A-STRIPE-002,Non-transactional charge-then-column-write in the amenity money loop with no Stripe-truth reconciler,medium,validated,P1,Wave 2,payments/money-integrity,amenity-money-service; amenity-stripe-gateway; amenities-routes,YCM backend eng (payments),M,Latent (same GL/amenity gate) — fix before flipping the flag; persist the Stripe intent id (shares work with A-STRIPE-003).,Medium — introduces a reconciliation path over money columns; must be idempotent and read-only against the ledger of record.,simulate DB write failure after Stripe success and assert reconciler repairs the column; assert repair never double-writes when column already correct,Adding a reconciler is additive/read-only against Stripe; must be idempotent — revert by disabling the reconciler job.,lane-a
A-STRIPE-003,Deposit-hold lookup relies on eventually-consistent Stripe Search instead of a stored intent id,medium,validated,P2,Wave 2,payments/money-integrity,amenity-stripe-gateway,YCM backend eng (payments),S,Shares the persisted-intent-id work with A-STRIPE-002 — do together.,Low-medium — adds a column + write; direct-id lookup is more robust than search.,hold then immediately forfeit resolves via stored id without relying on search; search fallback still works when id is absent,"New nullable column + direct-id lookup, Search kept as fallback — low risk, additive.",lane-a
CQ-008,Stripe money calls use 6+ hand-rolled raw fetch() to api.stripe.com (no SDK) — repeated fragile abstraction,medium,validated,P2,Wave 2,repeated code / fragile abstractions,server/routes.ts; server/storage.ts; server/services/payment-service.ts; server/services/stripe-connect.ts,YCM backend eng (payments) — refactor,L,"Natural container for A-STRIPE-001/004's idempotency fixes — build the shared stripeFetch() wrapper as part of this work, then land the individual idempotency fixes through it.",Medium (touching money call-sites — do behind tests + TEST-mode verification).,idempotency-key presence test per money mutation; retry/timeout behavior test on the wrapper,New shared client wraps the 6 existing raw-fetch sites one at a time behind tests — revert per-site if a migration regresses a call.,lane-c
A-AUTH-002,"Portal + vendor-portal OTP codes generated with Math.random() (non-CSPRNG, CWE-338)",low,validated,P3,Wave 2,portal,portal OTP request; vendor-portal OTP request,YCM backend eng (auth/portal),XS,"No dependency — can ship any time, bundling into the portal-auth PR for review efficiency.",Very low — one-line generator swap; output shape (6-digit string) unchanged.,OTP still 6 digits; OTP generated via crypto CSPRNG (no Math.random),"One-line generator swap, output shape unchanged — trivially revertible.",lane-a
A-AUTH-003,Admin session cookie scoped to parent domain (.yourcondomanager.org) — readable by every subdomain,low,validated,P3,Wave 2,session,express-session cookie config; session-cookie-domain resolver,YCM backend eng (auth/portal) + product sign-off,S,Requires a subdomain inventory pass first; do not narrow scope blind.,Medium — reverting to host-only breaks the documented apex↔app login persistence; needs product sign-off.,cookie domain scope matches intended subdomain set; no untrusted subdomain receives the sid cookie,Needs a subdomain inventory + product sign-off before narrowing cookie scope (breaks documented cross-host SSO if done carelessly) — revert to parent-domain scope if SSO breaks.,lane-a
A-AUTH-004,Admin association scopes silently auto-hydrate (read-write) from portal_access rows by email,low,candidate,P3,Wave 2,auth,applyAdminContext / requireAdmin scope resolution,YCM backend eng (auth),M,Data-audit prerequisite — 'candidate' confidence; do the audit as the first step of this item.,Medium — some admins may rely on auto-hydrated scopes; needs a data audit before tightening.,admin scope is not silently widened by a new portal_access row; auto-hydrate (if kept) grants least privilege and is audit-logged,Needs the data-audit noted in the finding (can portal_access rows be attacker-influenced for an admin's email) before deciding read-only-vs-approval-step remediation.,lane-a
A-AUTH-005,"Inconsistent portal session-expiry enforcement: uploads path checks status only, not 30-day inactivity",low,validated,P3,Wave 2,portal,authorizeUploadAccess portal path; resolvePortalAccessContext,YCM backend eng (auth/portal),S,"Cheap, bundle into the A-AUTH-001 portal-auth rework so both ship in the same review.",Low — additive stricter check on an existing deny path.,idle-expired active portal id is denied file access just like normal portal routes,Additive stricter check on an existing deny path — revert removes the idle check on the uploads route.,lane-a
A-LEDGER-007,"Portal Plaid pay posts a balance-reducing ledger entry with no settlement and no idempotency (referenceId = bank connection id) — gated OFF by default, but a balance-without-money-movement risk if enabled",low,candidate,P3,Wave 2,ledger,server/routes.ts POST /api/portal/plaid/pay; server/services/bank-feed/plaid-env-guard.ts isPortalPlaidPayEnabled,YCM backend eng (money/ledger),M,Do NOT enable PORTAL_PLAID_PAY_ENABLED until this AND A-RECON-004 are both fixed — sequence together.,Low while gated off; the fix is part of building the settlement path.,flag off → 503; no duplicate ledger entry per confirmed payment; balance reduces only on confirmed settlement,"Currently gated OFF (503) — no live risk; fix is part of building the real settlement path, not a standalone patch.",lane-a
A-STRIPE-004,Platform subscription-billing Stripe passthrough has no idempotency support and no transient-error retry,low,validated,P2,Wave 2,payments/money-integrity,stripeRequest-passthrough; platform-billing; signup-checkout,YCM backend eng (payments),S,Lower exposure (platform-admin-gated route) — bundle with CQ-008's shared Stripe client work.,Low — additive; keys must be stable per logical operation.,subscription create retry does not produce a second Stripe subscription; customer create retry reuses the customer,Additive idempotency support on the platform-billing passthrough — revert removes the key parameter.,lane-a
A-STRIPE-005,refundKey collapses two distinct same-amount partial refunds of one charge within Stripe's 24h idempotency window,low,candidate,P3,Wave 2,payments/money-integrity,stripe-idempotency; refund-service,YCM backend eng (payments),XS,Confirm with product/finance whether two equal-amount partial refunds in 24h is a real scenario before prioritizing (flagged 'candidate' by lane-a).,Low — key-grain change; must preserve retry-collapse for genuine retries.,two distinct $X refunds on the same charge both succeed; a true network retry of one refund still collapses,Key-grain change on refunds — revert to the old key if the disambiguator breaks retry-collapse; verify via the two required tests before shipping.,lane-a
ARCH-B-001,"Two 18-20k-line God-file monoliths (routes.ts, storage.ts) concentrate the whole server surface",high,validated,P2,Wave 3,architecture/module-boundaries,server/routes.ts; server/storage.ts,"YCM backend eng (lead) — ongoing, incremental",XL,"The substrate under root causes #1 and #3 (see report) — sequence AFTER Wave 1's CQ-010 meta-test and Wave 2's concrete AUTHZ fixes exist, so decomposition doesn't reopen tenant-isolation regressions.",medium — mechanical extraction can drop a route registration or middleware order; mitigated by move-only commits + route-inventory diff.,route-inventory snapshot (count + paths) before/after each extraction; existing integration suite green,Move-only extraction commits with a route-inventory diff as the safety net per PR — revert any single extraction PR independently without affecting others.,lane-b
CQ-002,20.5k-line routes.ts + 18k-line storage.ts monoliths with 200-315-line handlers,high,validated,P2,Wave 3,complexity & readability,server/routes.ts; server/storage.ts,"YCM backend eng (lead) — ongoing, incremental",XL,Duplicate of ARCH-B-001 — one initiative closes both.,Medium (moving handlers risks middleware-order or path drift; do per-domain PRs with route-inventory diffs).,route-inventory snapshot test (assert the full path list is unchanged after each split),"Same as ARCH-B-001 — duplicate finding (lane-b + lane-c, same root fact).",lane-c
CQ-007,"Type-safety escape hatches concentrated in the money/tenant-critical files (37 in routes.ts, 14 in storage.ts)",medium,validated,P3,Wave 3,error-handling & type-safety,server/routes.ts; server/storage.ts,"YCM backend eng (incremental, alongside monolith decomposition)",L,Natural to fix each `as any` site AS you touch it during the ARCH-B-001/CQ-002 decomposition — don't do as a separate blitz.,Low per-site (typing fixes); collectively M.,None specified,Per-site typing fixes — low individual risk; revert any single site's typing change independently.,lane-c
DB-B-005,Low explicit-index-to-table ratio (47 indexes / 183 tables) suggests missing composite indexes on hot multi-tenant query paths,medium,candidate,P2,Wave 3,data/db-design,shared/schema.ts; server/storage.ts,YCM backend eng / DBA — verify then fix,M,"Needs EXPLAIN/pg_stat_statements against real usage BEFORE landing indexes (currently 'candidate') — do a data-driven pass, not a guess.",low — additive indexes; watch write amplification on very hot insert tables.,EXPLAIN before/after on the top-5 filtered queries; pg_stat_statements top-query capture,Additive indexes; must watch write-amplification on hot insert tables when adding — revert by dropping the index if writes regress unacceptably.,lane-b
